label,source,sentence
shame,emotional_events,"I had called a boy who had dated me, and told him that I was ill, while, actually, I didn't want to go out with him, later on, he asked me if I was feeling better, then I felt ashamed."
shame,emotional_events,"When I was doing my homework at home, some relatives came and advised me to help my mother do the house-work."
shame,emotional_events,Some time ago I promised to meet an acquaintance of mine and to carry him some promised papers. I haven't done it until this day. Now I feel quite awkward when I meet him.
shame,emotional_events,Swearing in public.
shame,emotional_events,"I felt something akin to shame after a heavy night of drinking, along with waking up with a woman I had just met whose husband was an epileptic. I was later to know that she knew my mother."
shame,emotional_events,The discovery that one has only thought of oneself.
shame,emotional_events,On own reading book. Recall came to mind of slight sexual exploitation of a female (years ago) i.e. had her on even for sexual motives.
shame,emotional_events,"In the last day of carnaval I met a boy and began to flirt with him. I was in love with him. When he introduced me to his friends I died of shame because I was with them before, I met my boyfriend in carnaval."
shame,emotional_events,I was unaware that I had walked the streets in torn trousers.
shame,emotional_events,When the literature teacher made me recite a poem in the middle of the class and I had to gesticulate.
shame,emotional_events,"When I was tired and unmotivated, I shouted at my girlfriend and and brought up negative sides of her character which are actually not so important."
shame,emotional_events,Falling over.
shame,emotional_events,In 1972 I failed my Examination because of my own crooky behaviour of dodging from Examinations.
shame,emotional_events,"One day I was with my girlfriend and other friends were behind us, I fell down because the place was slippery and I really felt ashamed."
shame,emotional_events,I said something especially stupid which I did not mean at all.
shame,emotional_events,One morning after breakfast I was still not satisfied.  My nephew (a small boy of 2) had not eaten his breakfast and just when I was taking a bit of his share someone walked in.
shame,emotional_events,I had a short lasting sexual relationship with someone I didn't love.
shame,emotional_events,"I had to prepare a report but I couldn't write it. I read from a book off-hand, I was quite uneasy and I felt I didn't manage."
shame,emotional_events,When I had to walk home from the bus-stop in a skirt that I had soiled.  It drew a lot of attention and they all seemed to want to see the blood stains.
shame,emotional_events,When I failed the twelveth standard exams I was ashamed at having to see my parents later.
shame,emotional_events,"On a road trip with a group of sorority and fraternity people, I became intoxicated and basically raped. I don't remember the actual event, but I know the feeling that I experienced later."
shame,emotional_events,I forgot that the course instructor had directed us to go for special classes after the usual class hours.  I missed this the first day and when he asked me about it the next day I said that I had forgotten.
shame,emotional_events,When I forgot my mother's birthday.
shame,emotional_events,When somebody suddenly said something (about me) at a wrong moment and I didn't agree (at that exact moment I was needing an extremely positive word).
